"GO.ID";"classicFisher";"weighted"
"GO:0009148";"1.000";"1.000"
"GO:0009150";"1.000";"1.000"
"GO:0009152";"1.000";"1.000"
"GO:0009154";"1.000";"1.000"
"GO:0009156";"1.000";"1.000"
"GO:0009157";"1.000";"1.000"
"GO:0009161";"1.000";"1.000"
"GO:0009162";"1.000";"1.000"
"GO:0009163";"1.000";"1.000"
"GO:0009165";"1.000";"1.000"
"GO:0009166";"1.000";"1.000"
"GO:0009167";"1.000";"1.000"
"GO:0009168";"1.000";"1.000"
"GO:0009173";"1.000";"1.000"
"GO:0009174";"1.000";"1.000"
"GO:0009176";"1.000";"1.000"
"GO:0009177";"1.000";"1.000"
"GO:0009179";"1.000";"1.000"
"GO:0009185";"1.000";"1.000"
"GO:0009186";"1.000";"1.000"
"GO:0009187";"1.000";"1.000"
"GO:0009190";"1.000";"1.000"
"GO:0009199";"1.000";"1.000"
"GO:0009201";"1.000";"1.000"
"GO:0009205";"1.000";"1.000"
"GO:0009206";"1.000";"1.000"
"GO:0009208";"1.000";"1.000"
"GO:0009209";"1.000";"1.000"
"GO:0009211";"1.000";"1.000"
"GO:0009214";"1.000";"1.000"
"GO:0009218";"1.000";"1.000"
"GO:0009219";"1.000";"1.000"
"GO:0009220";"1.000";"1.000"
"GO:0009221";"1.000";"1.000"
"GO:0009228";"1.000";"1.000"
"GO:0009229";"1.000";"1.000"
"GO:0009231";"1.000";"1.000"
"GO:0009247";"1.000";"1.000"
"GO:0009250";"1.000";"1.000"
"GO:0009253";"1.000";"1.000"
"GO:0009259";"1.000";"1.000"
"GO:0009260";"1.000";"1.000"
"GO:0009261";"1.000";"1.000"
"GO:0009262";"1.000";"1.000"
"GO:0009263";"1.000";"1.000"
"GO:0009265";"1.000";"1.000"
"GO:0009306";"1.000";"1.000"
"GO:0009308";"1.000";"1.000"
"GO:0009309";"1.000";"1.000"
"GO:0009310";"1.000";"1.000"
"GO:0009311";"1.000";"1.000"
"GO:0009312";"1.000";"1.000"
"GO:0009313";"1.000";"1.000"
"GO:0009394";"1.000";"1.000"
"GO:0009395";"1.000";"1.000"
"GO:0009396";"1.000";"1.000"
"GO:0009435";"1.000";"1.000"
"GO:0009437";"1.000";"1.000"
"GO:0009448";"1.000";"1.000"
"GO:0009451";"1.000";"1.000"
"GO:0009452";"1.000";"1.000"
"GO:0009605";"1.000";"1.000"
"GO:0009607";"1.000";"1.000"
"GO:0009636";"1.000";"1.000"
"GO:0009712";"1.000";"1.000"
"GO:0009890";"1.000";"1.000"
"GO:0009892";"1.000";"1.000"
"GO:0009893";"1.000";"1.000"
"GO:0009894";"1.000";"1.000"
"GO:0009896";"1.000";"1.000"
"GO:0009966";"1.000";"1.000"
"GO:0009991";"1.000";"1.000"
"GO:0010035";"1.000";"1.000"
"GO:0010256";"1.000";"1.000"
"GO:0010383";"1.000";"1.000"
"GO:0010410";"1.000";"1.000"
"GO:0010498";"1.000";"1.000"
"GO:0010558";"1.000";"1.000"
"GO:0010563";"1.000";"1.000"
"GO:0010564";"1.000";"1.000"
"GO:0010604";"1.000";"1.000"
"GO:0010605";"1.000";"1.000"
"GO:0010608";"1.000";"1.000"
"GO:0010629";"1.000";"1.000"
"GO:0010646";"1.000";"1.000"
"GO:0010833";"1.000";"1.000"
"GO:0010876";"1.000";"1.000"
"GO:0010921";"1.000";"1.000"
"GO:0010965";"1.000";"1.000"
"GO:0012501";"1.000";"1.000"
"GO:0015031";"1.000";"1.000"
"GO:0015074";"1.000";"1.000"
"GO:0015698";"1.000";"1.000"
"GO:0015703";"1.000";"1.000"
"GO:0015748";"1.000";"1.000"
"GO:0015780";"1.000";"1.000"
"GO:0015833";"1.000";"1.000"
"GO:0015914";"1.000";"1.000"
"GO:0015919";"1.000";"1.000"
"GO:0015931";"1.000";"1.000"
"GO:0015936";"1.000";"1.000"
"GO:0015937";"1.000";"1.000"
"GO:0015939";"1.000";"1.000"
"GO:0015940";"1.000";"1.000"
"GO:0015976";"1.000";"1.000"
"GO:0015980";"1.000";"1.000"
"GO:0015986";"1.000";"1.000"
"GO:0015988";"1.000";"1.000"
"GO:0016032";"1.000";"1.000"
"GO:0016042";"1.000";"1.000"
"GO:0016043";"1.000";"1.000"
"GO:0016050";"1.000";"1.000"
"GO:0016051";"1.000";"1.000"
"GO:0016052";"1.000";"1.000"
"GO:0016053";"1.000";"1.000"
"GO:0016054";"1.000";"1.000"
"GO:0016071";"1.000";"1.000"
"GO:0016072";"1.000";"1.000"
"GO:0016125";"1.000";"1.000"
"GO:0016126";"1.000";"1.000"
"GO:0016128";"1.000";"1.000"
"GO:0016129";"1.000";"1.000"
"GO:0016192";"1.000";"1.000"
"GO:0016197";"1.000";"1.000"
"GO:0016226";"1.000";"1.000"
"GO:0016236";"1.000";"1.000"
"GO:0016310";"1.000";"1.000"
"GO:0016311";"1.000";"1.000"
"GO:0016482";"1.000";"1.000"
"GO:0016485";"1.000";"1.000"
"GO:0016558";"1.000";"1.000"
"GO:0016559";"1.000";"1.000"
"GO:0016560";"1.000";"1.000"
"GO:0016567";"1.000";"1.000"
"GO:0016570";"1.000";"1.000"
"GO:0016575";"1.000";"1.000"
"GO:0016598";"1.000";"1.000"
"GO:0016973";"1.000";"1.000"
"GO:0016998";"1.000";"1.000"
"GO:0016999";"1.000";"1.000"
"GO:0017001";"1.000";"1.000"
"GO:0017004";"1.000";"1.000"
"GO:0017148";"1.000";"1.000"
"GO:0017182";"1.000";"1.000"
"GO:0017183";"1.000";"1.000"
"GO:0018106";"1.000";"1.000"
"GO:0018193";"1.000";"1.000"
"GO:0018196";"1.000";"1.000"
"GO:0018202";"1.000";"1.000"
"GO:0018205";"1.000";"1.000"
"GO:0018279";"1.000";"1.000"
"GO:0018410";"1.000";"1.000"
"GO:0018904";"1.000";"1.000"
"GO:0018958";"1.000";"1.000"
"GO:0019058";"1.000";"1.000"
"GO:0019079";"1.000";"1.000"
"GO:0019184";"1.000";"1.000"
"GO:0019220";"1.000";"1.000"
"GO:0019307";"1.000";"1.000"
"GO:0019318";"1.000";"1.000"
"GO:0019319";"1.000";"1.000"
"GO:0019320";"1.000";"1.000"
"GO:0019321";"1.000";"1.000"
"GO:0019343";"1.000";"1.000"
"GO:0019344";"1.000";"1.000"
"GO:0019354";"1.000";"1.000"
"GO:0019359";"1.000";"1.000"
"GO:0019362";"1.000";"1.000"
"GO:0019363";"1.000";"1.000"
"GO:0019370";"1.000";"1.000"
"GO:0019379";"1.000";"1.000"
"GO:0019400";"1.000";"1.000"
"GO:0019419";"1.000";"1.000"
"GO:0019430";"1.000";"1.000"
"GO:0019439";"1.000";"1.000"
"GO:0019478";"1.000";"1.000"
"GO:0019538";"1.000";"1.000"
"GO:0019541";"1.000";"1.000"
"GO:0019543";"1.000";"1.000"
"GO:0019566";"1.000";"1.000"
"GO:0019626";"1.000";"1.000"
"GO:0019627";"1.000";"1.000"
"GO:0019629";"1.000";"1.000"
"GO:0019637";"1.000";"1.000"
"GO:0019646";"1.000";"1.000"
"GO:0019692";"1.000";"1.000"
"GO:0019693";"1.000";"1.000"
"GO:0019720";"1.000";"1.000"
"GO:0019722";"1.000";"1.000"
"GO:0019725";"1.000";"1.000"
"GO:0019740";"1.000";"1.000"
"GO:0019751";"1.000";"1.000"
"GO:0019856";"1.000";"1.000"
"GO:0019932";"1.000";"1.000"
"GO:0019941";"1.000";"1.000"
"GO:0022402";"1.000";"1.000"
"GO:0022406";"1.000";"1.000"
"GO:0022411";"1.000";"1.000"
"GO:0022414";"1.000";"1.000"
"GO:0022607";"1.000";"1.000"
"GO:0022613";"1.000";"1.000"
"GO:0022618";"1.000";"1.000"
"GO:0022900";"1.000";"1.000"
"GO:0022904";"1.000";"1.000"
"GO:0023051";"1.000";"1.000"
"GO:0023052";"1.000";"1.000"
"GO:0030001";"1.000";"1.000"
"GO:0030003";"1.000";"1.000"
"GO:0030029";"1.000";"1.000"
"GO:0030036";"1.000";"1.000"
"GO:0030041";"1.000";"1.000"
"GO:0030071";"1.000";"1.000"
"GO:0030149";"1.000";"1.000"
"GO:0030163";"1.000";"1.000"
"GO:0030203";"1.000";"1.000"
"GO:0030258";"1.000";"1.000"
"GO:0030259";"1.000";"1.000"
"GO:0030653";"1.000";"1.000"
"GO:0030655";"1.000";"1.000"
"GO:0030832";"1.000";"1.000"
"GO:0030833";"1.000";"1.000"
"GO:0031119";"1.000";"1.000"
"GO:0031123";"1.000";"1.000"
"GO:0031163";"1.000";"1.000"
"GO:0031324";"1.000";"1.000"
"GO:0031325";"1.000";"1.000"
"GO:0031327";"1.000";"1.000"
"GO:0031329";"1.000";"1.000"
"GO:0031331";"1.000";"1.000"
"GO:0031396";"1.000";"1.000"
