"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrB1107C";14,1953372824854;-4,79456083623406;1,02723658284942;2,27654839579183e-06;1,50952443271907e-05
"TrC0564C";2,98506906816805;-4,79402905916067;2,60184813521017;0,000633209825354335;0,00257557064147104
"TrA1123C";42,3273951562426;-4,79291214759358;0,848569088097228;2,0763172285619e-09;2,13438726775105e-08
"TrC1576W";392,610744169508;-4,78166380612216;0,482625242643312;2,47768897702153e-24;8,82126340320767e-23
"TrA1962W";66,4475644463105;-4,76993018200262;0,570804950443855;7,47228079734489e-18;1,75521299281081e-16
"TrG0489C";3468,89662439123;-4,76750271348705;0,366102286936191;6,25813707089846e-40;4,91889573772619e-38
"TrG0113W";364,926596391152;-4,76537331746392;0,406921301467184;8,09343398925317e-33;4,69879025580619e-31
"TrF0248C";2,42791062984931;-4,76117533307181;2,76771395299217;0,0011824701065586;0,00449162808506163
"TrA0102C";86,5385012995238;-4,75146017626761;0,63639017105243;1,05308894804297e-14;1,94935921577955e-13
"TrA1548W";13,3057929714021;-4,74106103440915;1,07917416093792;5,01809865532118e-06;3,13033773260512e-05
"TrG0321W";492,347837773226;-4,72585880212404;0,438763618975442;2,92398825159052e-28;1,33380856940857e-26
"TrE0930C";4,52371999825379;-4,72429772756365;2,5460597272794;0,000577741356787774;0,00238118673560844
"TrA1529C";7,80996323710938;-4,7228727981098;2,59998965148132;0,00072681450870909;0,00289648621294441
