"";"mutant_DD";"mutant_LL";"WT_DD";"WT_LL"
"TrA0190W";-2,78367160842737;-4,20240719229745;-2,01455088842475;-4,35419059486636
"TrA0191W";-1,62969690012415;-3,2479279869022;-2,90481354573993;-3,17794398715012
"TrA0192W";1,64235082763463;2,60325011160345;0,799072771223437;2,45507066520813
"TrA0193C";5,91094912235795;3,38723838264951;5,01483739363477;3,25755183744368
"TrA0194C";-1,48207961445388;-3,49247745714876;-3,47094558105322;-3,42851996971569
"TrA0195C";6,59417806834792;5,08056145972307;6,02276932998868;5,55328455225412
"TrA0196C";8,46277062008868;8,71208505987424;8,48754458436741;8,70433082247768
"TrA0197W";-2,40002936552977;-2,56694238535799;-1,95526867346414;-3,58405463633615
"TrA0198C";-3,07071139297705;-2,59398123044867;-2,16502044781011;-2,89341310710754
"TrA0199C";-2,17064937883378;-2,64798728015085;-1,90340911744748;-1,97772606220095
"TrA0200C";6,01880527457205;6,46764526438773;6,27227079659191;6,47584077306015
"TrA0201W";3,00277908827104;3,23620967042189;3,00088701818831;2,91183739090099
"TrA0202C";4,42013711771767;5,03835572097437;4,33144094167349;5,20735259431442
"TrA0203W";8,63757856704145;8,68356553166345;8,49395208278478;8,62403695854793
"TrA0204W";5,9016513190081;3,99971698111358;5,59974635859739;4,01145701463388
"TrA0205C";2,17582065985229;2,4494877854013;1,73100617660943;2,51934917063194
"TrA0206W";-4,86508699255889;-4,96862819080281;-4,91812421968957;-4,89930685457746
"TrA0207C";3,91977478970175;0,736823135766114;3,52095718074098;-2,8638294097617
"TrA0208C";-4,32867872224803;-4,96862819080281;-3,33448982286547;-4,09814677402809
"TrA0209W";-4,35623794928691;-4,96862819080281;-4,38467282974187;-4,89930685457746
"TrA0210C";6,59143815952828;0,282858444006057;6,72558400428318;0,126494399434298
"TrA0211C";-4,86508699255889;-4,96862819080281;-4,91812421968957;-4,38909364259569
"TrA0212W";-4,86508699255889;-4,96862819080281;-4,91812421968957;-4,89930685457746
"TrA0213C";-4,86508699255889;-4,96862819080281;-3,84919580943625;-4,89930685457746
"TrA0214C";0,650658489410537;-0,955448182378789;0,37813222891073;-2,30927445542394
"TrA0215C";-1,48538056868146;-4,44576093397514;-4,91812421968957;-3,99452057092628
"TrA0216W";-0,915375161601489;-4,96862819080281;-1,56109745184689;-4,89930685457746
"TrA0217C";1,77697298534778;0,927395478425415;1,62253661800026;1,33359104591888
"TrA0218C";-4,33505612092541;-3,92344313781894;-2,28978230616269;-4,38072886335668
"TrA0219C";-4,86508699255889;-4,96862819080281;-4,91812421968957;-4,89930685457746
"TrA0220W";-4,86508699255889;-4,96862819080281;-3,85217009026339;-4,89930685457746
"TrA0221C";2,00852587173483;2,52234401671433;1,77513106636601;2,9584311439626
"TrA0222W";2,44076509364378;2,46385453712557;2,37240332599967;1,23454379124865
"TrA0223W";-4,86508699255889;-4,96862819080281;-4,91812421968957;-4,89930685457746
"TrA0224W";9,55850807771603;9,33169734261983;7,78301879078233;6,37263533484376
"TrA0225W";-2,14389410007634;-2,11336683597169;-0,875272006659021;-4,38072886335668
"TrA0226W";-2,11841661360472;-4,96862819080281;-3,86653144420662;-4,89930685457746
"TrA0227C";1,36542083681165;0,124057135828831;1,47579811684854;-0,584370703425229
